ENSG_id	LFC
ENSG00000186564	0.062668056
ENSG00000186566	-0.037380507
ENSG00000186567	0.136915649
ENSG00000107821	0.02208401
ENSG00000229300	-0.012718383
ENSG00000146555	0.008576992
ENSG00000146556	0.122283846
ENSG00000146223	0.034894849
ENSG00000060709	0.415034467
ENSG00000155465	-0.376517401
ENSG00000051009	-0.036126424
ENSG00000133318	-0.011732375
ENSG00000055070	0.040381736
ENSG00000133315	0.341417723
ENSG00000141027	-0.050395822
ENSG00000133313	-0.002832499
ENSG00000137343	0.115756988
ENSG00000100519	-0.110672176
ENSG00000198894	-0.094699831
ENSG00000198892	0.219892074
ENSG00000198890	-0.024337188
ENSG00000162337	0.32644223
ENSG00000066427	-0.135533849
ENSG00000066422	-0.053225771
ENSG00000172869	-0.161672558
ENSG00000182010	-0.168224665
ENSG00000130962	-0.043693962
ENSG00000108064	-0.117102894
ENSG00000223887	-0.005187361
ENSG00000157570	0.444898872
ENSG00000108061	-0.158495778
ENSG00000102125	0.003321471
ENSG00000165879	0.039382059
ENSG00000067082	-0.069757072
ENSG00000235501	-0.315031118
ENSG00000121621	-0.141945541
ENSG00000181938	0.067596004
ENSG00000164659	-0.035963641
ENSG00000164651	0.184623734
ENSG00000164654	-0.05494179
ENSG00000114978	-0.061097325
ENSG00000169740	-0.093290319
ENSG00000206440	0.273436642
ENSG00000268151	-0.039276877
ENSG00000161021	-0.019211081
ENSG00000256436	0.276367833
ENSG00000268158	0.060821745
ENSG00000260384	0.283854143
ENSG00000260380	0.020183666
ENSG00000260383	0.166362551
ENSG00000149182	-0.006503711
ENSG00000254692	-0.090772039
ENSG00000101977	-0.098275042
ENSG00000101974	-0.148546143
ENSG00000101972	-0.040955849
ENSG00000269404	-0.146316414
ENSG00000007516	0.020898614
ENSG00000072736	-0.109511068
ENSG00000116574	-0.094667606
ENSG00000269158	-0.115832496
ENSG00000130349	0.017318034
ENSG00000130348	-0.093337073
ENSG00000054654	-0.053584817
ENSG00000151923	0.008876651
ENSG00000272809	0.263048324
ENSG00000180884	0.060481934
ENSG00000180881	-0.110755779
ENSG00000005007	0.202128999
ENSG00000239195	-0.29428667
ENSG00000099949	0.180459596
ENSG00000177565	-0.099303317
ENSG00000151012	-0.167631725
ENSG00000107560	-0.136443746
ENSG00000151014	-0.021872578
ENSG00000107566	0.007136287
ENSG00000099942	-0.000451663
ENSG00000196639	0.018796386
ENSG00000101608	-0.029792564
ENSG00000174136	0.014292421
ENSG00000101605	0.049387369
ENSG00000170100	-0.071563049
ENSG00000174132	0.096866264
ENSG00000154001	-0.039538851
ENSG00000174130	0.010857159
ENSG00000224687	0.391434671
ENSG00000198791	-0.088158878
ENSG00000197959	-0.054713431
ENSG00000198793	-0.0152749
